LAST SEEN   TYPE      REASON              OBJECT                                 MESSAGE
35m         Normal    Created             pod/load-generator-bd586c8df-r5sdk     Container created
35m         Normal    Created             pod/load-generator-bd586c8df-gwm78     Container created
35m         Normal    Started             pod/load-generator-bd586c8df-r5sdk     Container started
35m         Normal    Pulled              pod/load-generator-bd586c8df-vmxw5     Successfully pulled image "alexeiled/stress-ng:latest" in 2.006s (2.969s including waiting). Image size: 3939132 bytes.
35m         Normal    Created             pod/load-generator-bd586c8df-vmxw5     Container created
35m         Normal    SuccessfulDelete    replicaset/load-generator-fd74b4d9     Deleted pod: load-generator-fd74b4d9-b2nfc
35m         Normal    Killing             pod/load-generator-fd74b4d9-b2nfc      Stopping container stressor
34m         Normal    Pulling             pod/load-generator-bd586c8df-dflmd     Pulling image "alexeiled/stress-ng:latest"
34m         Normal    Started             pod/load-generator-bd586c8df-gwm78     Container started
34m         Normal    Pulled              pod/load-generator-bd586c8df-dflmd     Successfully pulled image "alexeiled/stress-ng:latest" in 1s (1.001s including waiting). Image size: 3939132 bytes.
34m         Normal    Created             pod/load-generator-bd586c8df-dflmd     Container created
34m         Normal    Started             pod/load-generator-bd586c8df-vmxw5     Container started
34m         Normal    SuccessfulDelete    replicaset/load-generator-fd74b4d9     (combined from similar events): Deleted pod: load-generator-fd74b4d9-l8pwx
34m         Normal    Started             pod/load-generator-bd586c8df-dflmd     Container started
34m         Normal    Killing             pod/load-generator-fd74b4d9-l8pwx      Stopping container stressor
9m54s       Normal    Scheduled           pod/load-generator-55c4597646-p82b9    Successfully assigned research-workload/load-generator-55c4597646-p82b9 to gke-research-autoscaler-default-pool-cc6226da-q6sy
9m54s       Normal    Scheduled           pod/load-generator-55c4597646-62lbh    Successfully assigned research-workload/load-generator-55c4597646-62lbh to gke-research-autoscaler-default-pool-cc6226da-1lgg
9m54s       Normal    Scheduled           pod/load-generator-55c4597646-4xjck    Successfully assigned research-workload/load-generator-55c4597646-4xjck to gke-research-autoscaler-default-pool-cc6226da-q6sy
9m54s       Normal    Killing             pod/load-generator-bd586c8df-vmxw5     Stopping container stressor
9m54s       Normal    SuccessfulDelete    replicaset/load-generator-bd586c8df    Deleted pod: load-generator-bd586c8df-dflmd
9m54s       Normal    SuccessfulDelete    replicaset/load-generator-bd586c8df    Deleted pod: load-generator-bd586c8df-vmxw5
9m54s       Normal    SuccessfulCreate    replicaset/load-generator-55c4597646   Created pod: load-generator-55c4597646-m6hcp
9m54s       Normal    SuccessfulCreate    replicaset/load-generator-55c4597646   Created pod: load-generator-55c4597646-p82b9
9m54s       Normal    SuccessfulCreate    replicaset/load-generator-55c4597646   Created pod: load-generator-55c4597646-62lbh
9m54s       Normal    SuccessfulCreate    replicaset/load-generator-55c4597646   Created pod: load-generator-55c4597646-4xjck
9m54s       Normal    SuccessfulCreate    replicaset/load-generator-55c4597646   Created pod: load-generator-55c4597646-2j76w
9m54s       Normal    ScalingReplicaSet   deployment/load-generator              Scaled up replica set load-generator-55c4597646 from 3 to 5
